Name;allDay;startTime;stopTime;day;month;
Chirstmas;true;1:00;23:59;25;12;
Halloween;true;1:00;23:59;31;10;
Birth day;true;1:00;23:59;27;11;
FRC;false;18:30;21:00;7;10;
FRC;false;18:30;21:00;14;10;
FRC;false;18:30;21:00;21;10;
FRC;false;18:30;21:00;28;10;
FRC;false;18:30;21:00;4;11;
Vex Robotics;false;14:00;16:00;2;10;
Vex Robotics;false;14:00;16:00;9;10;
Vex Robotics;false;14:00;16:00;16;10;
Vex Robotics;false;14:00;16:00;23;10;
Vex Robotics;false;14:00;16:00;7;10;
Vex Robotics;false;14:00;16:00;14;10;
Vex Robotics;false;14:00;16:00;21;10;
Vex Robotics;false;14:00;16:00;30;10;
FRC;false;18:30;21:00;11;11;
Thanksgiving;true;1:00;23:59;27;11;
Pit Rehersal ;false;14:00;16:00;28;10;
Pit Rehersal;false;14:00;15:00;29;10;
